Combination Number,Num Particles,Window Length (m),Animation Interval (ms),Window Attraction Strength,AC Repulsion Strength,Num Runs,n-times Elapsed Time (s),Average Escape Time (s),Similarity
1,30276,0.5,0.5,0.05,0,5,7.611002445,1.521270895,0.10799667395101135
2,30276,0.5,0.5,0.05,0,5,6.160968542,1.231152058,0.06504350896083239
3,30276,0.5,0.5,0.05,0,5,5.58121562,1.115720701,0.07695098768355747
4,30276,0.5,0.5,0.05,0,5,8.556557655,1.710482407,0.06712172668808589
5,30276,0.5,0.5,0.05,0,5,6.328390837,1.265007114,0.005998310871468489
6,30276,0.5,0.5,0.05,0,5,5.453159809,1.089911747,0.10625083549262725
7,30276,0.5,0.5,0.05,0,5,4.245270729,0.848561859,0.14451686397357777
8,30276,0.5,0.5,0.05,0,5,4.263912678,0.852112532,0.12254390099958583
9,30276,0.5,0.5,0.05,0,5,6.150829315,1.22902503,0.16114166992711154
10,30276,0.5,0.5,0.05,0,5,7.176484346,1.434007978,0.15495643462141578
11,30276,0.5,0.5,0.05,0,5,6.032176971,1.205878115,0.07643411091605674
12,30276,0.5,0.5,0.05,0,5,5.640060186,1.127290773,0.11766789742662435
13,30276,0.5,0.5,0.05,0,5,7.598243237,1.518745375,0.05914182556760291
14,30276,0.5,0.5,0.05,0,5,6.431385994,1.285674524,0.053664912516507964
15,30276,0.5,0.5,0.05,0,5,6.094734669,1.217836761,0.0993668362663174
16,30276,0.5,0.5,0.05,0,5,7.296751499,1.458536911,0.14432963929828277
17,30276,0.5,0.5,0.05,0,5,6.415697813,1.282498741,0.09656910433831545
18,30276,0.5,0.5,0.05,0,5,5.74939394,1.148749685,0.03708251558210228
19,30276,0.5,0.5,0.05,0,5,13.19420505,2.637524748,0.32659972061907366
20,30276,0.5,0.5,0.05,0,5,8.514187098,1.701927471,0.0689817339958934
21,30276,0.5,0.5,0.05,0,5,7.149445295,1.428845453,0.07684131433823407
22,30276,0.5,0.5,0.05,0,5,6.611765623,1.321139908,0.02719605474413643
23,30276,0.5,0.5,0.05,0,5,5.334170103,1.065614557,0.6364607325345017
24,30276,0.5,0.5,0.05,0,5,5.4563272,1.09042902,0.4547040025857622
25,30276,0.5,0.5,0.05,0,5,7.345703125,1.468623877,0.12246202760380782
26,30276,0.5,0.5,0.05,0,5,6.170586348,1.233240461,0.07950829857869654
27,30276,0.5,0.5,0.05,0,5,6.240280628,1.247242451,0.14282995646757476
28,30276,0.5,0.5,0.05,0,5,4.99659276,0.998661757,0.10554449561546952
29,30276,0.5,0.5,0.05,0,5,6.778918505,1.354793739,0.08356861119959867
30,30276,0.5,0.5,0.05,0,5,6.052788258,1.20946846,0.12352726865920904
31,30276,0.5,0.5,0.05,0,5,5.607550144,1.120696735,0.40602881529501583
32,30276,0.5,0.5,0.05,0,5,6.918945313,1.383071089,0.23267741429618413
33,30276,0.5,0.5,0.05,0,5,6.479088783,1.294630051,0.1733238426018471
34,30276,0.5,0.5,0.05,0,5,5.459913492,1.091377211,0.09664297476405909
35,30276,0.5,0.5,0.05,0,5,8.145611286,1.628040361,0.11343518445050452
36,30276,0.5,0.5,0.05,0,5,8.305629253,1.659993696,0.13104241150897172
37,30276,0.5,0.5,0.05,0,5,8.47289896,1.693406773,0.2234134403819142
38,30276,0.5,0.5,0.05,0,5,7.33557272,1.466204548,0.2128179742329367
39,30276,0.5,0.5,0.05,0,5,7.413408041,1.481119537,0.28828591303385764
40,30276,0.5,0.5,0.05,0,5,8.621502876,1.72296133,0.24456230011028843
41,30276,0.5,0.5,0.05,0,5,7.526815414,1.504362154,0.2085312281066487
42,30276,0.5,0.5,0.05,0,5,7.50318408,1.499474669,0.2678919791023545
43,30276,0.5,0.5,0.05,0,5,9.098572731,1.819007015,0.2064096925533089
44,30276,0.5,0.5,0.05,0,5,8.715865612,1.742164183,0.2055261021494945
45,30276,0.5,0.5,0.05,0,5,8.10238719,1.619272709,0.2948191403650964
46,30276,0.5,0.5,0.05,0,5,9.497225285,1.898367548,0.1407299694953536
47,30276,0.5,0.5,0.05,0,5,8.027436256,1.604607058,0.07467993903845956
48,30276,0.5,0.5,0.05,0,5,8.040775299,1.60699048,0.14809143163698868
49,30276,0.5,0.5,0.05,0,5,6.845711708,1.368083334,0.16392291875025192
50,30276,0.5,0.5,0.05,0,5,6.179593325,1.235219336,0.3172052750262702
51,30276,0.5,0.5,0.05,0,5,6.864198446,1.371750879,0.09046163245088452
52,30276,0.5,0.5,0.05,0,5,6.834899187,1.36599102,0.0895702561140054
53,30276,0.5,0.5,0.05,0,5,8.513821602,1.701994228,0.09325883883392994
54,30276,0.5,0.5,0.05,0,5,6.321017027,1.263120699,0.09535954367150813
55,30276,0.5,0.5,0.05,0,5,5.848006248,1.168919802,0.13584137931918583
56,30276,0.5,0.5,0.05,0,5,5.358393908,1.070828676,0.08817322430054789
57,30276,0.5,0.5,0.05,0,5,6.042169094,1.207399845,0.10387320665498208
58,30276,0.5,0.5,0.05,0,5,5.580729246,1.115289688,0.18367093408821905
59,30276,0.5,0.5,0.05,0,5,5.367694855,1.073125029,0.1637935783816338
60,30276,0.5,0.5,0.05,0,5,7.28113699,1.455217886,0.14110552987533193
61,30276,0.5,0.5,0.05,0,5,7.03094101,1.405355787,0.027745272768643615
62,30276,0.5,0.5,0.05,0,5,6.363846779,1.272053099,0.0021185645514306974
63,30276,0.5,0.5,0.05,0,5,5.435824156,1.086609459,0.039977470542581425
1,30276,0.8,0.5,0.05,0,5,6.602333307,1.320110798,0.10799667395101135
2,30276,0.8,0.5,0.05,0,5,5.411390543,1.081419373,0.06504350896083239
3,30276,0.8,0.5,0.05,0,5,6.286820412,1.256729698,0.07695098768355747
4,30276,0.8,0.5,0.05,0,5,7.519435644,1.50312562,0.06712172668808589
5,30276,0.8,0.5,0.05,0,5,6.373037338,1.274224281,0.005998310871468489
6,30276,0.8,0.5,0.05,0,5,6.657752275,1.330483103,0.10625083549262725
7,30276,0.8,0.5,0.05,0,5,5.68512845,1.136075687,0.14451686397357777
8,30276,0.8,0.5,0.05,0,5,5.456866503,1.090699339,0.12254390099958583
9,30276,0.8,0.5,0.05,0,5,7.819138288,1.562618971,0.16114166992711154
10,30276,0.8,0.5,0.05,0,5,5.258329868,1.05052433,0.15495643462141578
11,30276,0.8,0.5,0.05,0,5,5.19239378,1.037663603,0.07643411091605674
12,30276,0.8,0.5,0.05,0,5,4.456374645,0.890491056,0.11766789742662435
13,30276,0.8,0.5,0.05,0,5,6.747348785,1.349138594,0.05914182556760291
14,30276,0.8,0.5,0.05,0,5,6.127498865,1.224472666,0.053664912516507964
15,30276,0.8,0.5,0.05,0,5,5.803155899,1.159408808,0.0993668362663174
16,30276,0.8,0.5,0.05,0,5,8.695135355,1.737976742,0.14432963929828277
17,30276,0.8,0.5,0.05,0,5,6.861245394,1.371408558,0.09656910433831545
18,30276,0.8,0.5,0.05,0,5,5.658425808,1.130819416,0.03708251558210228
19,30276,0.8,0.5,0.05,0,5,7.459894896,1.491189146,0.32659972061907366
20,30276,0.8,0.5,0.05,0,5,7.515051603,1.502709055,0.0689817339958934
21,30276,0.8,0.5,0.05,0,5,7.762940645,1.551483536,0.07684131433823407
22,30276,0.8,0.5,0.05,0,5,6.25981617,1.251218081,0.02719605474413643
23,30276,0.8,0.5,0.05,0,5,5.464959145,1.092461348,0.6364607325345017
24,30276,0.8,0.5,0.05,0,5,4.694180727,0.937913418,0.4547040025857622
25,30276,0.8,0.5,0.05,0,5,6.019074917,1.203063726,0.12246202760380782
26,30276,0.8,0.5,0.05,0,5,5.491464853,1.097405291,0.07950829857869654
27,30276,0.8,0.5,0.05,0,5,4.682056904,0.935811853,0.14282995646757476
28,30276,0.8,0.5,0.05,0,5,4.063299656,0.812073231,0.10554449561546952
29,30276,0.8,0.5,0.05,0,5,5.741248608,1.147673845,0.08356861119959867
30,30276,0.8,0.5,0.05,0,5,4.813862562,0.962058496,0.12352726865920904
31,30276,0.8,0.5,0.05,0,5,4.364253521,0.872355509,0.40602881529501583
32,30276,0.8,0.5,0.05,0,5,5.647947073,1.128819704,0.23267741429618413
33,30276,0.8,0.5,0.05,0,5,5.092520714,1.017773914,0.1733238426018471
34,30276,0.8,0.5,0.05,0,5,4.537524223,0.906371069,0.09664297476405909
35,30276,0.8,0.5,0.05,0,5,6.490160942,1.296935129,0.11343518445050452
36,30276,0.8,0.5,0.05,0,5,6.37916708,1.275096703,0.13104241150897172
37,30276,0.8,0.5,0.05,0,5,5.444477081,1.088014841,0.2234134403819142
38,30276,0.8,0.5,0.05,0,5,4.962217808,0.991696405,0.2128179742329367
39,30276,0.8,0.5,0.05,0,5,4.3388834,0.866965389,0.28828591303385764
40,30276,0.8,0.5,0.05,0,5,5.373901129,1.073830605,0.24456230011028843
41,30276,0.8,0.5,0.05,0,5,5.116375923,1.022836971,0.2085312281066487
42,30276,0.8,0.5,0.05,0,5,4.616538286,0.922601795,0.2678919791023545
43,30276,0.8,0.5,0.05,0,5,6.624212742,1.323739386,0.2064096925533089
44,30276,0.8,0.5,0.05,0,5,5.730264187,1.145382166,0.2055261021494945
45,30276,0.8,0.5,0.05,0,5,4.922398806,0.984009743,0.2948191403650964
46,30276,0.8,0.5,0.05,0,5,8.13374114,1.626008177,0.1407299694953536
47,30276,0.8,0.5,0.05,0,5,6.944491863,1.387813044,0.07467993903845956
48,30276,0.8,0.5,0.05,0,5,7.21881032,1.443330717,0.14809143163698868
49,30276,0.8,0.5,0.05,0,5,7.006817102,1.400275469,0.16392291875025192
50,30276,0.8,0.5,0.05,0,5,10.50316143,2.099190855,0.3172052750262702
51,30276,0.8,0.5,0.05,0,5,7.00406146,1.400169754,0.09046163245088452
52,30276,0.8,0.5,0.05,0,5,5.766691685,1.153072548,0.0895702561140054
53,30276,0.8,0.5,0.05,0,5,7.951325893,1.589425325,0.09325883883392994
54,30276,0.8,0.5,0.05,0,5,7.652002811,1.529786968,0.09535954367150813
55,30276,0.8,0.5,0.05,0,5,7.024277687,1.404176903,0.13584137931918583
56,30276,0.8,0.5,0.05,0,5,5.860723257,1.171215963,0.08817322430054789
57,30276,0.8,0.5,0.05,0,5,7.347939253,1.468522024,0.10387320665498208
58,30276,0.8,0.5,0.05,0,5,7.729578495,1.545279026,0.18367093408821905
59,30276,0.8,0.5,0.05,0,5,7.082708836,1.415832901,0.1637935783816338
60,30276,0.8,0.5,0.05,0,5,7.738167524,1.547018003,0.14110552987533193
61,30276,0.8,0.5,0.05,0,5,7.387417316,1.477020216,0.027745272768643615
62,30276,0.8,0.5,0.05,0,5,6.391454935,1.277453041,0.0021185645514306974
63,30276,0.8,0.5,0.05,0,5,5.840510607,1.167497206,0.039977470542581425
1,30276,1.0,0.5,0.05,0,5,6.181658745,1.235565567,0.10799667395101135
2,30276,1.0,0.5,0.05,0,5,5.876872301,1.174542427,0.06504350896083239
